AP MAC,zoneId,apGroupId,AP Serial,AP Name,Zone Name,AP Description,AP Location,AP S/W Version,wifi24Channel,wifi50Channel,NAS IP (externalIp),NAS Port (externalPort),AP IP,AP Provisioned Method,AP Approved Time,AP Last Seen,Connected Client counts,Management VLAN
00:E6:3A:0C:3D:20,b4187899-38ae-4ace-8e40-0bc444455156,72ba1877-1ba4-4775-927d-6d4d38a14a5c,2.12E+11,4.05E+15,Staging Zone,0,0,116.0.0.0.1655,0,0,122.187.114.214,59348,10.0.16.12,Discovered,1.70E+12,1.70E+12,0,0
10:F0:68:1E:71:E0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.62E+11,4.04E+15,Dr.LAL PATH LAB,"12th Floor,Inside Commercial-1","Sec-38, Gurugram",5.2.2.0.301,11,64,61.246.202.54,35548,10.0.0.11,Discovered,1.66E+12,1.71E+12,7,1
10:F0:68:26:3A:D0,1e51e3ab-766f-4875-9894-1787f4cf55c9,e299b84e-e312-49c5-acdb-696eaaa509da,1.92E+11,4.05E+15,JAIN VVPuram 1,"G-Floor,Inside Arka room",Bangalore,5.2.2.0.301,3,64,122.187.95.182,34600,172.16.131.71,Discovered,1.68E+12,1.71E+12,0,1
10:F0:68:26:63:F0,6f5a0bc9-5369-4f7b-b848-d7f4d850af1e,a9db943b-6679-4f4f-b6e2-779155165c85,1.92E+11,4.04E+15,Bharti (RBM) Holdings,"Kitchen,38, Amrita Shergill Marg, new Delhi 110011",DELHI,5.2.2.0.301,1,136,61.246.79.139,34023,10.0.25.10,Discovered,1.68E+12,1.71E+12,0,1
10:F0:68:26:8E:D0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"12th Floor,insid Dr Lal","Sec-38, Gurugram",5.2.2.0.301,1,161,61.246.202.54,34937,10.0.0.2,Discovered,1.66E+12,1.71E+12,1,1
10:F0:68:26:94:80,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"12th Floor,Near HR-1","Sec-38, Gurugram",5.2.2.0.301,6,56,61.246.202.54,58879,10.0.0.7,Discovered,1.66E+12,1.71E+12,9,1
10:F0:68:26:AE:50,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Near Priject Area 2","Sec-38, Gurugram",5.2.2.0.301,1,112,61.246.202.54,48717,10.0.0.17,Discovered,1.66E+12,1.71E+12,7,1
10:F0:68:26:B8:10,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"12th Floor,Inside Commercial-1","Sec-38, Gurugram",5.2.2.0.301,6,136,61.246.202.54,51873,10.0.0.12,Discovered,1.66E+12,1.71E+12,23,1
10:F0:68:26:C4:80,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Inside 10th Finance -1","Sec-38, Gurugram",5.2.2.0.301,6,136,61.246.202.54,38775,10.0.0.19,Discovered,1.66E+12,1.71E+12,4,1
10:F0:68:26:CD:10,1e51e3ab-766f-4875-9894-1787f4cf55c9,e299b84e-e312-49c5-acdb-696eaaa509da,1.92E+11,4.05E+15,JAIN VVPuram 1,"G-Floor,Inside EDP office",Bangalore,5.2.2.0.301,2,52,122.187.95.182,37292,172.16.131.73,Discovered,1.68E+12,1.71E+12,0,1
10:F0:68:26:CD:A0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Inside 10th HR -2","Sec-38, Gurugram",5.2.2.0.301,11,56,61.246.202.54,45893,10.0.0.24,Discovered,1.66E+12,1.71E+12,12,1
10:F0:68:26:CF:E0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Near IT - 3","Sec-38, Gurugram",5.2.2.0.301,1,40,61.246.202.54,34439,10.0.0.15,Discovered,1.66E+12,1.71E+12,9,1
10:F0:68:26:D2:60,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"12th Floor,Inside Finance-1","Sec-38, Gurugram",5.2.2.0.301,11,132,61.246.202.54,47429,10.0.0.9,Discovered,1.66E+12,1.71E+12,13,1
10:F0:68:26:D4:50,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Inside 10th HR -1","Sec-38, Gurugram",5.2.2.0.301,11,124,61.246.202.54,59728,10.0.0.23,Discovered,1.66E+12,1.71E+12,11,1
10:F0:68:26:E2:F0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Near Priject Area 1","Sec-38, Gurugram",5.2.2.0.301,1,153,61.246.202.54,54369,10.0.0.16,Discovered,1.66E+12,1.71E+12,10,1
10:F0:68:26:E5:A0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Inside 10th Finance -2","Sec-38, Gurugram",5.2.2.0.301,1,161,61.246.202.54,52699,10.0.0.22,Discovered,1.66E+12,1.71E+12,7,1
10:F0:68:26:E8:50,6f5a0bc9-5369-4f7b-b848-d7f4d850af1e,a9db943b-6679-4f4f-b6e2-779155165c85,1.92E+11,4.04E+15,Bharti (RBM) Holdings,"Dressing Room,38, Amrita Shergill Marg, new Delhi 110013",DELHI,5.2.2.0.301,11,153,61.246.79.139,35782,10.0.25.12,Discovered,1.68E+12,1.71E+12,1,1
10:F0:68:26:EB:A0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Near Everest","Sec-38, Gurugram",5.2.2.0.301,11,116,61.246.202.54,47417,10.0.0.25,Discovered,1.66E+12,1.71E+12,5,1
10:F0:68:26:ED:30,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Near IT - 2","Sec-38, Gurugram",5.2.2.0.301,6,132,61.246.202.54,34196,10.0.0.27,Discovered,1.66E+12,1.71E+12,3,1
10:F0:68:26:ED:C0,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"10th Floor,Near IT - 1","Sec-38, Gurugram",5.2.2.0.301,1,100,61.246.202.54,56644,10.0.0.26,Discovered,1.66E+12,1.71E+12,3,1
10:F0:68:27:02:D0,6f5a0bc9-5369-4f7b-b848-d7f4d850af1e,a9db943b-6679-4f4f-b6e2-779155165c85,1.92E+11,4.04E+15,Bharti (RBM) Holdings,"Central Hut Yard,38, Amrita Shergill Marg, new Delhi 110014",DELHI,5.2.2.0.301,6,120,61.246.79.139,51511,10.0.25.13,Discovered,1.68E+12,1.71E+12,0,1
10:F0:68:27:05:50,6f5a0bc9-5369-4f7b-b848-d7f4d850af1e,a9db943b-6679-4f4f-b6e2-779155165c85,1.92E+11,4.04E+15,Bharti (RBM) Holdings,"Study Fire Area,38, Amrita Shergill Marg, new Delhi 110012",DELHI,5.2.2.0.301,1,64,61.246.79.139,49943,10.0.25.11,Discovered,1.68E+12,1.71E+12,2,1
10:F0:68:27:0C:60,6294a7b9-4159-490d-aea5-53e6d783c37a,f46f72c6-3687-4b2b-b0d3-c8c0eb9af014,1.92E+11,4.04E+15,Dr.LAL PATH LAB,"12th Floor,Near reception","Sec-38, Gurugram",5.2.2.0.301,6,108,61.246.202.54,46312,10.0.0.13,Discovered,1.66E+12,1.71E+12,0,1
